"","node_id","track_name","X","Y","Z","cell_type","timepoint","DistBorder"
"1",53247,"full_ec1_finished",699.0613806,868.5772719,908.7271851,"ET",0,35.36491013
"2",53490,"full_ec1_finished",699.0613806,868.5772719,908.7271851,"ET",0,35.36491013
"3",53542,"full_ec1_finished",699.0613806,868.5772719,908.7271851,"ET",0,35.36491013
"4",53821,"full_ec1_finished",699.0613806,868.5772719,908.7271851,"ET",0,35.36491013
"5",53833,"full_ec1_finished",699.0613806,868.5772719,908.7271851,"ET",0,35.36491013
"6",53978,"full_ec1_finished",699.0613806,868.5772719,908.7271851,"ET",0,35.36491013
"7",54016,"full_ec1_finished",699.0613806,868.5772719,908.7271851,"ET",0,35.36491013
"8",54031,"full_ec1_finished",699.0613806,868.5772719,908.7271851,"ET",0,35.36491013
"9",54155,"full_ec3",755.3601523,883.1258076,884.8545522,"ET",0,45.30823135
"10",54202,"full_ec3",755.3601523,883.1258076,884.8545522,"ET",0,45.30823135
"11",55453,"full_et_aorta_noEtMes1",723.213896,887.8691916,899.1292908,"ET",0,37.9127388
"12",56964,"full_et_aorta_noEtMes1",723.213896,887.8691916,899.1292908,"ET",0,37.9127388
"13",57284,"full_uc1",750.2703263,760.2128013,890.3419825,"ET",0,31.04288673
"14",57324,"full_uc1",750.2703263,760.2128013,890.3419825,"ET",0,31.04288673
"15",57699,"full_uc1",750.2703263,760.2128013,890.3419825,"ET",0,31.04288673
"16",58887,"full_my_JCF1",705.1644334,758.1591759,889.2406182,"CM",0,26.57445145
"17",59800,"full_ec_uc1",759.9294299,859.9898597,853.0988614,"ET",0,25.10384178
"18",60096,"full_ec_uc1",759.9294299,859.9898597,853.0988614,"ET",0,25.10384178
"19",60140,"full_ec_uc1",759.9294299,859.9898597,853.0988614,"ET",0,25.10384178
"20",62238,"full_my_SplMes1_finished",654.7226592,852.4272332,946.4828386,"CM",0,20.46468163
"21",62275,"full_my_SplMes1_finished",654.7226592,852.4272332,946.4828386,"CM",0,20.46468163
"22",62417,"full_my_SplMes1_finished",654.7226592,852.4272332,946.4828386,"CM",0,20.46468163
"23",62459,"full_my_SplMes1_finished",654.7226592,852.4272332,946.4828386,"CM",0,20.46468163
"24",62478,"full_ec1_finished",699.0613806,868.5772719,908.7271851,"ET",0,35.36491013
"25",62482,"full_ec1_finished",699.0613806,868.5772719,908.7271851,"ET",0,35.36491013
"26",62485,"full_ec1_finished",699.0613806,868.5772719,908.7271851,"ET",0,35.36491013
"27",62489,"full_ec1_finished",699.0613806,868.5772719,908.7271851,"ET",0,35.36491013
"28",62496,"full_ec1_finished",699.0613806,868.5772719,908.7271851,"ET",0,35.36491013
"29",62513,"full_ec1_finished",699.0613806,868.5772719,908.7271851,"ET",0,35.36491013
"30",63379,"full_ec1_finished",699.0613806,868.5772719,908.7271851,"ET",0,35.36491013
"31",63401,"full_ec1_finished",699.0613806,868.5772719,908.7271851,"ET",0,35.36491013
"32",63908,"full_my_SplMes1_finished",654.7226592,852.4272332,946.4828386,"CM",0,20.46468163
"33",63943,"full_my_SplMes1_finished",654.7226592,852.4272332,946.4828386,"CM",0,20.46468163
"34",64205,"full_my_SplMes1_finished",654.7226592,852.4272332,946.4828386,"CM",0,20.46468163
"35",64237,"full_my_SplMes1_finished",654.7226592,852.4272332,946.4828386,"CM",0,20.46468163
"36",64244,"full_uc1",750.2703263,760.2128013,890.3419825,"ET",0,31.04288673
"37",64253,"full_uc1",750.2703263,760.2128013,890.3419825,"ET",0,31.04288673
"38",64267,"full_uc1",750.2703263,760.2128013,890.3419825,"ET",0,31.04288673
"39",64348,"full_uc1",750.2703263,760.2128013,890.3419825,"ET",0,31.04288673
"40",65211,"full_my_JCF1",705.1644334,758.1591759,889.2406182,"CM",0,26.57445145
"41",65328,"full_my_JCF1",705.1644334,758.1591759,889.2406182,"CM",0,26.57445145
"42",65529,"full_my_JCF1",705.1644334,758.1591759,889.2406182,"CM",0,26.57445145
"43",65545,"full_my_JCF1",705.1644334,758.1591759,889.2406182,"CM",0,26.57445145
"44",69912,"full_my1",667.6239704,862.8308695,909.6355636,"CM",0,15.772686
"45",70191,"full_my1",667.6239704,862.8308695,909.6355636,"CM",0,15.772686
"46",70448,"full_my1",667.6239704,862.8308695,909.6355636,"CM",0,15.772686
"47",71166,"full_my1",667.6239704,862.8308695,909.6355636,"CM",0,15.772686
"48",71299,"full_my1",667.6239704,862.8308695,909.6355636,"CM",0,15.772686
"49",71964,"full_my1",667.6239704,862.8308695,909.6355636,"CM",0,15.772686
"50",72084,"full_my1",667.6239704,862.8308695,909.6355636,"CM",0,15.772686
"51",72512,"full_uc1",750.2703263,760.2128013,890.3419825,"ET",0,31.04288673
"52",72588,"full_my_JCF1",705.1644334,758.1591759,889.2406182,"CM",0,26.57445145
"53",72610,"full_my_JCF1",705.1644334,758.1591759,889.2406182,"CM",0,26.57445145
"54",72950,"full_ec_uc1",759.9294299,859.9898597,853.0988614,"ET",0,25.10384178
"55",73019,"full_ec_uc1",759.9294299,859.9898597,853.0988614,"ET",0,25.10384178
"56",73357,"full_ec_uc1",759.9294299,859.9898597,853.0988614,"ET",0,25.10384178
"57",73411,"full_ec_uc1",759.9294299,859.9898597,853.0988614,"ET",0,25.10384178
"58",73547,"full_ec_uc1",759.9294299,859.9898597,853.0988614,"ET",0,25.10384178
"59",74095,"full_ec_uc1",759.9294299,859.9898597,853.0988614,"ET",0,25.10384178
"60",75172,"full_my4",735.1163601,776.7013421,878.2139501,"CM",0,38.09205627
"61",75462,"full_my4",735.1163601,776.7013421,878.2139501,"CM",0,38.09205627
"62",75493,"full_my4",735.1163601,776.7013421,878.2139501,"CM",0,38.09205627
"63",76191,"full_ec3",755.3601523,883.1258076,884.8545522,"ET",0,45.30823135
"64",76416,"full_ec3",755.3601523,883.1258076,884.8545522,"ET",0,45.30823135
"65",76663,"full_ec4",669.2832258,873.9189608,965.8599294,"ET",0,17.99829102
"66",77326,"full_ec4",669.2832258,873.9189608,965.8599294,"ET",0,17.99829102
"67",77560,"full_ec4",669.2832258,873.9189608,965.8599294,"ET",0,17.99829102
