"Param","Nobs","Nsamp","Nevent","OR","ORCI_low","ORCI_upp","pval","pval.adj","Model"
"trackLength_win1","4.15e+04","173","2.94e+04","1.14","0.25","5.23","0.87","1","glmer"
"trackLength_win5","4.08e+04","171","2.89e+04","1.28","0.25","6.49","0.77","1","glmer"
"trackLength_win10","3.99e+04","170","2.83e+04","1.37","0.25","7.66","0.72","1","glmer"
"trackLength_win15","3.91e+04","170","2.78e+04","1.46","0.24","8.92","0.68","1","glmer"
"trackLength_win20","3.82e+04","169","2.72e+04","1.53","0.23","10.05","0.66","1","glmer"
"trackLength_win25","3.74e+04","167","2.66e+04","1.56","0.23","10.72","0.65","1","glmer"
"trackLength_win30","3.65e+04","166","2.60e+04","1.6","0.22","11.49","0.64","1","glmer"
"trackLength_win35","3.57e+04","164","2.54e+04","1.63","0.22","12.13","0.63","1","glmer"
"trackLength_win40","3.49e+04","163","2.49e+04","1.65","0.22","12.42","0.62","1","glmer"
"trackLength_win45","3.41e+04","162","2.43e+04","1.67","0.22","12.93","0.62","1","glmer"
"trackLength_win50","3.33e+04","158","2.37e+04","1.73","0.21","14.23","0.61","1","glmer"
"trackLength_win60","3.17e+04","155","2.27e+04","1.79","0.21","15.69","0.6","1","glmer"
"trackLength_win70","3.02e+04","153","2.16e+04","1.84","0.2","17.07","0.59","1","glmer"
"trackLength_win80","2.87e+04","152","2.05e+04","1.94","0.2","18.84","0.57","1","glmer"
"trackLength_win90","2.72e+04","144","1.95e+04","1.98","0.18","22.08","0.58","1","glmer"
"trackLength_win100","2.57e+04","141","1.85e+04","2.02","0.18","22.86","0.57","1","glmer"
"maxDisplacement_win1","4.15e+04","173","2.94e+04","1.14","0.25","5.23","0.87","1","glmer"
"maxDisplacement_win5","4.08e+04","171","2.89e+04","1.24","0.24","6.26","0.8","1","glmer"
"maxDisplacement_win10","3.99e+04","170","2.83e+04","1.24","0.23","6.59","0.8","1","glmer"
"maxDisplacement_win15","3.91e+04","170","2.78e+04","1.22","0.23","6.65","0.81","1","glmer"
"maxDisplacement_win20","3.82e+04","169","2.72e+04","1.21","0.22","6.61","0.83","1","glmer"
"maxDisplacement_win25","3.74e+04","167","2.66e+04","1.19","0.22","6.59","0.84","1","glmer"
"maxDisplacement_win30","3.65e+04","166","2.60e+04","1.19","0.21","6.74","0.85","1","glmer"
"maxDisplacement_win35","3.57e+04","164","2.54e+04","1.17","0.21","6.66","0.86","1","glmer"
"maxDisplacement_win40","3.49e+04","163","2.49e+04","1.16","0.2","6.59","0.87","1","glmer"
"maxDisplacement_win45","3.41e+04","162","2.43e+04","1.14","0.2","6.6","0.88","1","glmer"
"maxDisplacement_win50","3.33e+04","158","2.37e+04","1.16","0.2","6.81","0.87","1","glmer"
"maxDisplacement_win60","3.17e+04","155","2.27e+04","1.14","0.19","6.85","0.88","1","glmer"
"maxDisplacement_win70","3.02e+04","153","2.16e+04","1.14","0.19","6.76","0.89","1","glmer"
"maxDisplacement_win80","2.87e+04","152","2.05e+04","1.15","0.2","6.82","0.87","1","glmer"
"maxDisplacement_win90","2.72e+04","144","1.95e+04","1.14","0.18","7.02","0.89","1","glmer"
"maxDisplacement_win100","2.57e+04","141","1.85e+04","1.14","0.18","7.17","0.89","1","glmer"
"speed_win1","4.15e+04","173","2.94e+04","1.14","0.25","5.23","0.87","1","glmer"
"speed_win5","4.08e+04","171","2.89e+04","1.28","0.25","6.47","0.77","1","glmer"
"speed_win10","3.99e+04","170","2.83e+04","1.37","0.24","7.79","0.72","1","glmer"
"speed_win15","3.91e+04","170","2.78e+04","1.46","0.24","8.98","0.68","1","glmer"
"speed_win20","3.82e+04","169","2.72e+04","1.53","0.23","10.01","0.66","1","glmer"
"speed_win25","3.74e+04","167","2.66e+04","1.56","0.23","10.79","0.65","1","glmer"
"speed_win30","3.65e+04","166","2.60e+04","1.6","0.22","11.83","0.64","1","glmer"
"speed_win35","3.57e+04","164","2.54e+04","1.63","0.22","12.01","0.63","1","glmer"
"speed_win40","3.49e+04","163","2.49e+04","1.65","0.22","12.34","0.62","1","glmer"
"speed_win45","3.41e+04","162","2.43e+04","1.67","0.21","13.42","0.63","1","glmer"
"speed_win50","3.33e+04","158","2.37e+04","1.73","0.21","14.21","0.61","1","glmer"
"speed_win60","3.17e+04","155","2.27e+04","1.79","0.21","15.25","0.59","1","glmer"
"speed_win70","3.02e+04","153","2.16e+04","1.84","0.2","16.58","0.59","1","glmer"
"speed_win80","2.87e+04","152","2.05e+04","1.94","0.2","18.51","0.57","1","glmer"
"speed_win90","2.72e+04","144","1.95e+04","1.98","0.18","21.71","0.58","1","glmer"
"speed_win100","2.57e+04","141","1.85e+04","2.02","0.18","22.97","0.57","1","glmer"
"displacement_win1","4.15e+04","173","2.94e+04","1.14","0.25","5.23","0.87","1","glmer"
"displacement_win5","4.08e+04","171","2.89e+04","1.22","0.24","6.1","0.81","1","glmer"
"displacement_win10","3.99e+04","170","2.83e+04","1.21","0.23","6.31","0.82","1","glmer"
"displacement_win15","3.91e+04","170","2.78e+04","1.2","0.23","6.36","0.83","1","glmer"
"displacement_win20","3.82e+04","169","2.72e+04","1.19","0.22","6.35","0.84","1","glmer"
"displacement_win25","3.74e+04","167","2.66e+04","1.17","0.22","6.37","0.85","1","glmer"
"displacement_win30","3.65e+04","166","2.60e+04","1.16","0.21","6.49","0.86","1","glmer"
"displacement_win35","3.57e+04","164","2.54e+04","1.15","0.2","6.53","0.87","1","glmer"
"displacement_win40","3.49e+04","163","2.49e+04",NA,NA,NA,NA,NA,"glmer-WARN"
"displacement_win45","3.41e+04","162","2.43e+04","1.12","0.19","6.54","0.9","1","glmer"
"displacement_win50","3.33e+04","158","2.37e+04","1.15","0.2","6.56","0.88","1","glmer"
"displacement_win60","3.17e+04","155","2.27e+04","1.13","0.19","6.66","0.89","1","glmer"
"displacement_win70","3.02e+04","153","2.16e+04","1.13","0.19","6.68","0.89","1","glmer"
"displacement_win80","2.87e+04","152","2.05e+04","1.15","0.19","6.91","0.88","1","glmer"
"displacement_win90","2.72e+04","144","1.95e+04","1.14","0.18","7.14","0.89","1","glmer"
"displacement_win100","2.57e+04","141","1.85e+04","1.14","0.18","7.24","0.89","1","glmer"
"squareDisplacement_win1","4.15e+04","173","2.94e+04","1.13","0.25","5.14","0.87","1","glmer"
"squareDisplacement_win5","4.08e+04","171","2.89e+04","1.24","0.23","6.74","0.8","1","glmer"
"squareDisplacement_win10","3.99e+04","170","2.83e+04","1.27","0.2","8.23","0.8","1","glmer"
"squareDisplacement_win15","3.91e+04","170","2.78e+04","1.28","0.19","8.78","0.8","1","glmer"
"squareDisplacement_win20","3.82e+04","169","2.72e+04","1.28","0.18","8.92","0.8","1","glmer"
"squareDisplacement_win25","3.74e+04","167","2.66e+04","1.27","0.18","8.86","0.81","1","glmer"
"squareDisplacement_win30","3.65e+04","166","2.60e+04","1.26","0.17","9.04","0.82","1","glmer"
"squareDisplacement_win35","3.57e+04","164","2.54e+04","1.24","0.18","8.7","0.83","1","glmer"
"squareDisplacement_win40","3.49e+04","163","2.49e+04",NA,NA,NA,NA,NA,"glmer-WARN"
"squareDisplacement_win45","3.41e+04","162","2.43e+04","1.2","0.17","8.28","0.85","1","glmer"
"squareDisplacement_win50","3.33e+04","158","2.37e+04","1.23","0.17","8.78","0.84","1","glmer"
"squareDisplacement_win60","3.17e+04","155","2.27e+04","1.21","0.17","8.43","0.85","1","glmer"
"squareDisplacement_win70","3.02e+04","153","2.16e+04","1.21","0.17","8.54","0.85","1","glmer"
"squareDisplacement_win80","2.87e+04","152","2.05e+04","1.24","0.18","8.64","0.83","1","glmer"
"squareDisplacement_win90","2.72e+04","144","1.95e+04","1.22","0.17","8.7","0.84","1","glmer"
"squareDisplacement_win100","2.57e+04","141","1.85e+04","1.23","0.17","8.9","0.84","1","glmer"
"displacementRatio_win1","173","173","126",NA,NA,NA,NA,NA,"glm-ERROR"
"displacementRatio_win5","4.08e+04","171","2.89e+04","0.98","0.27","3.56","0.98","1","glmer"
"displacementRatio_win10","3.99e+04","170","2.83e+04","0.94","0.23","3.83","0.93","1","glmer"
"displacementRatio_win15","3.91e+04","170","2.78e+04","0.91","0.21","3.89","0.9","1","glmer"
"displacementRatio_win20","3.82e+04","169","2.72e+04","0.92","0.2","4.16","0.92","1","glmer"
"displacementRatio_win25","3.74e+04","167","2.66e+04","0.91","0.2","4.15","0.9","1","glmer"
"displacementRatio_win30","3.65e+04","166","2.60e+04","0.86","0.16","4.76","0.86","1","glmer"
"displacementRatio_win35","3.57e+04","164","2.54e+04","0.86","0.18","4.14","0.85","1","glmer"
"displacementRatio_win40","3.49e+04","163","2.49e+04",NA,NA,NA,NA,NA,"glmer-WARN"
"displacementRatio_win45","3.41e+04","162","2.43e+04","0.86","0.12","5.96","0.88","1","glmer"
"displacementRatio_win50","3.33e+04","158","2.37e+04","0.88","0.18","4.23","0.87","1","glmer"
"displacementRatio_win60","3.17e+04","155","2.27e+04","0.9","0.15","5.52","0.9","1","glmer"
"displacementRatio_win70","3.02e+04","153","2.16e+04","0.93","0.17","5","0.93","1","glmer"
"displacementRatio_win80","2.87e+04","152","2.05e+04","0.98","0.2","4.91","0.98","1","glmer"
"displacementRatio_win90","2.72e+04","144","1.95e+04","0.99","0.2","5.01","0.99","1","glmer"
"displacementRatio_win100","2.57e+04","141","1.85e+04","1.01","0.21","4.78","0.99","1","glmer"
"outreachRatio_win1","173","173","126",NA,NA,NA,NA,NA,"glm-ERROR"
"outreachRatio_win5","4.08e+04","171","2.89e+04","1.02","0.24","4.32","0.98","1","glmer"
"outreachRatio_win10","3.99e+04","170","2.83e+04","0.98","0.22","4.38","0.98","1","glmer"
"outreachRatio_win15","3.91e+04","170","2.78e+04","0.93","0.2","4.29","0.93","1","glmer"
"outreachRatio_win20","3.82e+04","169","2.72e+04","0.89","0.19","4.21","0.88","1","glmer"
"outreachRatio_win25","3.74e+04","167","2.66e+04","0.87","0.17","4.33","0.86","1","glmer"
"outreachRatio_win30","3.65e+04","166","2.60e+04","0.85","0.17","4.28","0.84","1","glmer"
"outreachRatio_win35","3.57e+04","164","2.54e+04","0.83","0.16","4.24","0.82","1","glmer"
"outreachRatio_win40","3.49e+04","163","2.49e+04","0.81","0.16","4.16","0.8","1","glmer"
"outreachRatio_win45","3.41e+04","162","2.43e+04","0.79","0.15","4.19","0.79","1","glmer"
"outreachRatio_win50","3.33e+04","158","2.37e+04","0.79","0.15","4.26","0.79","1","glmer"
"outreachRatio_win60","3.17e+04","155","2.27e+04",NA,NA,NA,NA,NA,"glmer-WARN"
"outreachRatio_win70","3.02e+04","153","2.16e+04","0.76","0.14","4.1","0.75","1","glmer"
"outreachRatio_win80","2.87e+04","152","2.05e+04","0.76","0.14","4.16","0.75","1","glmer"
"outreachRatio_win90","2.72e+04","144","1.95e+04","0.75","0.13","4.31","0.74","1","glmer"
"outreachRatio_win100","2.57e+04","141","1.85e+04","0.75","0.12","4.54","0.75","1","glmer"
"straightness_win1","173","173","126",NA,NA,NA,NA,NA,"glm-ERROR"
"straightness_win5","4.08e+04","171","2.89e+04","1.01","0.23","4.35","0.99","1","glmer"
"straightness_win10","3.99e+04","170","2.83e+04",NA,NA,NA,NA,NA,"glmer-WARN"
"straightness_win15","3.91e+04","170","2.78e+04","0.92","0.2","4.31","0.92","1","glmer"
"straightness_win20","3.82e+04","169","2.72e+04","0.88","0.18","4.3","0.88","1","glmer"
"straightness_win25","3.74e+04","167","2.66e+04","0.86","0.17","4.3","0.86","1","glmer"
"straightness_win30","3.65e+04","166","2.60e+04","0.84","0.16","4.29","0.83","1","glmer"
"straightness_win35","3.57e+04","164","2.54e+04","0.82","0.16","4.26","0.81","1","glmer"
"straightness_win40","3.49e+04","163","2.49e+04",NA,NA,NA,NA,NA,"glmer-WARN"
"straightness_win45","3.41e+04","162","2.43e+04","0.79","0.15","4.18","0.78","1","glmer"
"straightness_win50","3.33e+04","158","2.37e+04","0.79","0.15","4.25","0.78","1","glmer"
"straightness_win60","3.17e+04","155","2.27e+04","0.77","0.14","4.16","0.76","1","glmer"
"straightness_win70","3.02e+04","153","2.16e+04","0.76","0.14","4.16","0.76","1","glmer"
"straightness_win80","2.87e+04","152","2.05e+04","0.76","0.14","4.21","0.76","1","glmer"
"straightness_win90","2.72e+04","144","1.95e+04","0.75","0.13","4.38","0.75","1","glmer"
"straightness_win100","2.57e+04","141","1.85e+04","0.76","0.13","4.51","0.76","1","glmer"
"asphericity_win1","173","173","126",NA,NA,NA,NA,NA,"glm-ERROR"
"asphericity_win5","4.08e+04","171","2.89e+04","1.02","0.24","4.3","0.98","1","glmer"
"asphericity_win10","3.99e+04","170","2.83e+04","0.97","0.22","4.33","0.96","1","glmer"
"asphericity_win15","3.91e+04","170","2.78e+04","0.89","0.18","4.27","0.88","1","glmer"
"asphericity_win20","3.82e+04","169","2.72e+04","0.81","0.16","4.1","0.8","1","glmer"
"asphericity_win25","3.74e+04","167","2.66e+04","0.76","0.14","4.04","0.74","1","glmer"
"asphericity_win30","3.65e+04","166","2.60e+04","0.74","0.13","4.1","0.73","1","glmer"
"asphericity_win35","3.57e+04","164","2.54e+04","0.73","0.13","4.02","0.72","1","glmer"
"asphericity_win40","3.49e+04","163","2.49e+04","0.72","0.13","4.02","0.7","1","glmer"
"asphericity_win45","3.41e+04","162","2.43e+04","0.72","0.12","4.1","0.71","1","glmer"
"asphericity_win50","3.33e+04","158","2.37e+04","0.72","0.12","4.17","0.71","1","glmer"
"asphericity_win60","3.17e+04","155","2.27e+04","0.71","0.12","4.09","0.7","1","glmer"
"asphericity_win70","3.02e+04","153","2.16e+04","0.72","0.12","4.25","0.71","1","glmer"
"asphericity_win80","2.87e+04","152","2.05e+04","0.73","0.12","4.52","0.73","1","glmer"
"asphericity_win90","2.72e+04","144","1.95e+04","0.73","0.11","4.76","0.74","1","glmer"
"asphericity_win100","2.57e+04","141","1.85e+04","0.75","0.11","5","0.77","1","glmer"
"overallAngle_win1","173","173","126",NA,NA,NA,NA,NA,"glm-ERROR"
"overallAngle_win5","4.08e+04","171","2.89e+04","1.02","0.24","4.3","0.98","1","glmer"
"overallAngle_win10","3.99e+04","170","2.83e+04","1.05","0.25","4.44","0.94","1","glmer"
"overallAngle_win15","3.91e+04","170","2.77e+04","1.04","0.25","4.4","0.96","1","glmer"
"overallAngle_win20","3.82e+04","169","2.72e+04","1.05","0.25","4.42","0.95","1","glmer"
"overallAngle_win25","3.74e+04","167","2.66e+04","1.05","0.24","4.55","0.95","1","glmer"
"overallAngle_win30","3.65e+04","166","2.60e+04","1.05","0.24","4.59","0.95","1","glmer"
"overallAngle_win35","3.57e+04","164","2.54e+04","1.03","0.24","4.5","0.96","1","glmer"
"overallAngle_win40","3.49e+04","163","2.49e+04","1.04","0.24","4.55","0.96","1","glmer"
"overallAngle_win45","3.41e+04","162","2.43e+04","1.04","0.24","4.59","0.96","1","glmer"
"overallAngle_win50","3.33e+04","158","2.37e+04","1.03","0.23","4.64","0.97","1","glmer"
"overallAngle_win60","3.17e+04","155","2.27e+04","1.02","0.23","4.46","0.98","1","glmer"
"overallAngle_win70","3.02e+04","153","2.16e+04","0.99","0.22","4.43","0.99","1","glmer"
"overallAngle_win80","2.87e+04","152","2.05e+04","0.96","0.21","4.42","0.96","1","glmer"
"overallAngle_win90","2.72e+04","144","1.95e+04","0.98","0.21","4.66","0.98","1","glmer"
"overallAngle_win100","2.57e+04","141","1.85e+04","0.95","0.2","4.57","0.95","1","glmer"
"meanTurningAngle_win1","0.00","0.00","0.00",NA,NA,NA,NA,NA,"glm-ERROR"
"meanTurningAngle_win5","4.08e+04","171","2.89e+04","0.96","0.23","4.02","0.95","1","glmer"
"meanTurningAngle_win10","3.99e+04","170","2.83e+04","0.93","0.22","4.04","0.93","1","glmer"
"meanTurningAngle_win15","3.91e+04","170","2.78e+04","0.92","0.21","4.08","0.92","1","glmer"
"meanTurningAngle_win20","3.82e+04","169","2.72e+04","0.91","0.2","4.05","0.9","1","glmer"
"meanTurningAngle_win25","3.74e+04","167","2.66e+04","0.9","0.2","4.05","0.89","1","glmer"
"meanTurningAngle_win30","3.65e+04","166","2.60e+04","0.89","0.19","4.13","0.88","1","glmer"
