"Param","Effect","Nobs","Nsamp","Coef","CI_low","CI_upp","pval","Model","pval.adj"
"trackLength_win1","cell_typeET",41464,173,0.226221388758497,0.152977546709207,0.299465230807787,1.16682452244887e-08,"lmer",5.25071035101991e-06
"trackLength_win1","cell_typeET:timepoint",41464,173,0.191252130501935,0.143189811916489,0.239314449087382,1.94017392035543e-12,"lmer",8.88599655522787e-10
"trackLength_win5","cell_typeET",40773,171,0.377147069027221,0.230101494427038,0.524192643627405,1.52956943070669e-06,"lmer",0.000651596576396846
"trackLength_win5","cell_typeET:timepoint",40773,171,0.285713191513863,0.182794056104932,0.388632326922794,3.02888593533714e-07,"lmer",0.000132665196913952
"trackLength_win10","cell_typeET",39920,170,0.475183956607595,0.278189184829553,0.672178728385636,5.63714170654409e-06,"lmer",0.00231686524138962
"trackLength_win10","cell_typeET:timepoint",39920,170,0.328727073524012,0.189468843480356,0.467985303567668,9.60811643659884e-06,"lmer",0.00385285459510334
"trackLength_win15","cell_typeET",39070,170,0.52858113164594,0.305365443902725,0.751796819389155,7.93935152066882e-06,"lmer",0.00322337542661481
"trackLength_win15","cell_typeET:timepoint",39070,170,0.354912783309623,0.199300759506307,0.51052480711294,1.73496482873533e-05,"lmer",0.00676636283206779
"trackLength_win20","cell_typeET",38222,169,0.555470567639662,0.308705325409483,0.802235809869841,2.01661719839136e-05,"lmer",0.00782447472975848
"trackLength_win20","cell_typeET:timepoint",38222,169,0.376518476299356,0.206957733631593,0.546079218967119,2.73731565681781e-05,"lmer",0.0104839188913581
"trackLength_win25","cell_typeET",37381,167,0.572548877756345,0.301921364301351,0.843176391211338,5.79770972823789e-05,"lmer",0.0211174525683262
"trackLength_win25","cell_typeET:timepoint",37381,167,0.392596963061422,0.210126147861921,0.575067778260923,4.61842230642885e-05,"lmer",0.0173652660602104
"trackLength_win30","cell_typeET",36549,166,0.586825167384071,0.296334945308685,0.877315389459457,0.000118897661811455,"lmer",0.0408935004353058
"trackLength_win30","cell_typeET:timepoint",36549,166,0.411691500577093,0.220015837354857,0.603367163799328,4.70060784206843e-05,"lmer",0.0175802733293359
"trackLength_win35","cell_typeET",35726,164,0.601935667477632,0.291843931052321,0.912027403902943,0.000211940329278887,"lmer",0.0703641893205905
"trackLength_win35","cell_typeET:timepoint",35726,164,0.415075697983976,0.212499736187996,0.617651659779956,9.86389214651397e-05,"lmer",0.0347209002832424
"trackLength_win40","cell_typeET",34910,163,0.612209972881997,0.293475053905146,0.930944891858849,0.000245099722508291,"lmer",0.0799025095377029
"trackLength_win40","cell_typeET:timepoint",34910,163,0.423394000707501,0.215984567493368,0.630803433921635,0.000104077049655473,"lmer",0.036322890066582
"trackLength_win45","cell_typeET",34097,162,0.628933552287387,0.306145020957947,0.951722083616827,0.000201629108329305,"lmer",0.0677473694210608
"trackLength_win45","cell_typeET:timepoint",34097,162,0.433323781001935,0.224169917135328,0.642477644868542,8.29057356591252e-05,"lmer",0.0295144418946486
"trackLength_win50","cell_typeET",33300,158,0.645783706354791,0.321545128753767,0.970022283955816,0.000148421928844812,"lmer",0.0504634558072361
"trackLength_win50","cell_typeET:timepoint",33300,158,0.448407442976341,0.23927474581532,0.657540140137363,4.80788487227311e-05,"lmer",0.0178853303799086
"trackLength_win60","cell_typeET",31735,155,0.612951683555769,0.291352014204685,0.934551352906854,0.000274565870880772,"lmer",0.0889593421653701
"trackLength_win60","cell_typeET:timepoint",31735,155,0.470166515554992,0.268092842232875,0.672240188877109,1.11515917399511e-05,"lmer",0.00442718192076059
"trackLength_win70","cell_typeET",30192,153,0.610221728255738,0.28935948572645,0.931083970785026,0.000284000706942314,"lmer",0.0911641422707965
"trackLength_win70","cell_typeET:timepoint",30192,153,0.502893825583394,0.303055106342417,0.70273254482437,2.32174909295326e-06,"lmer",0.000972812869947416
"trackLength_win80","cell_typeET",28665,152,0.628139752817782,0.317807989869738,0.938471515765825,0.000118545133765541,"lmer",0.0408935004353058
"trackLength_win80","cell_typeET:timepoint",28665,152,0.532056717234202,0.338374755435877,0.725738679032526,3.21697628689584e-07,"lmer",0.000140260166108659
"trackLength_win90","cell_typeET",27187,144,0.634633427759835,0.333495821839143,0.935771033680526,6.57923969670033e-05,"lmer",0.0238168340844563
"trackLength_win90","cell_typeET:timepoint",27187,144,0.558445478020595,0.365047838585285,0.751843117455904,1.04306478712159e-07,"lmer",4.61034511152191e-05
"trackLength_win100","cell_typeET",25747,141,0.625136192551658,0.333793464662129,0.916478920441186,5.00709927328472e-05,"lmer",0.0185262629297587
"trackLength_win100","cell_typeET:timepoint",25747,141,0.597997201340664,0.410123154940785,0.785871247740542,7.57536630774494e-09,"lmer",3.42405934957544e-06
"maxDisplacement_win1","cell_typeET",41464,173,0.226221388758497,0.152977546709207,0.299465230807787,1.16682452244887e-08,"lmer",5.25071035101991e-06
"maxDisplacement_win1","cell_typeET:timepoint",41464,173,0.191252130501935,0.143189811916489,0.239314449087382,1.94017392035543e-12,"lmer",8.88599655522787e-10
"maxDisplacement_win5","cell_typeET",40773,171,0.34737940913245,0.228191825420396,0.466566992844503,7.74461940862788e-08,"lmer",3.43861101743078e-05
"maxDisplacement_win5","cell_typeET:timepoint",40773,171,0.21222631339452,0.123460103870009,0.300992522919031,7.86787886358788e-06,"lmer",0.00320222669748027
"maxDisplacement_win10","cell_typeET",39920,170,0.405764955987979,0.249822506007342,0.561707405968616,1.37932351759121e-06,"lmer",0.000590350465529038
"maxDisplacement_win10","cell_typeET:timepoint",39920,170,0.207175744642059,0.0880571838067138,0.326294305477404,0.000926946226883841,"lmer",0.278083868065152
"maxDisplacement_win15","cell_typeET",39070,170,0.418081145372368,0.237765358861542,0.598396931883194,1.38784570021733e-05,"lmer",0.00545423360185411
