SRX ID	SRA ID	GEO ID	Genome	Track type class	Track type	Cell type class	Cell type	Title	Attributes
SRX23619681	SRA1802676	GSM8078736	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	ES cells	ATAC CM WT day4 rep1; Mus musculus; ATAC-seq	source_name: Srf_flox1cell line: Srf_flox1cell type: embryonic stem cellsgenotype: WTtreatment: cardiac mesoderm differentiationgeo_loc_name: missingcollection_date: missing
SRX23619682	SRA1802676	GSM8078737	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	ES cells	ATAC CM WT day4 rep2; Mus musculus; ATAC-seq	source_name: Srf_flox1cell line: Srf_flox1cell type: embryonic stem cellsgenotype: WTtreatment: cardiac mesoderm differentiationgeo_loc_name: missingcollection_date: missing
SRX23619683	SRA1802676	GSM8078738	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	ES cells	ATAC CM SRF KO day4 rep1; Mus musculus; ATAC-seq	source_name: Srf_flox1cell line: Srf_flox1cell type: embryonic stem cellsgenotype: SRF KOtreatment: cardiac mesoderm differentiationgeo_loc_name: missingcollection_date: missing
SRX23619684	SRA1802676	GSM8078739	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	ES cells	ATAC CM SRF KO day4 rep2; Mus musculus; ATAC-seq	source_name: Srf_flox1cell line: Srf_flox1cell type: embryonic stem cellsgenotype: SRF KOtreatment: cardiac mesoderm differentiationgeo_loc_name: missingcollection_date: missing
SRX12121236	SRA1290721	GSM5570584	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	mESC derived cardiac cells	mESC to CM Day 0 rep1; Mus musculus; ATAC-seq	source_name: A2lox.cre mouse embryonic stem cell line under cardiac differentiationcell line: A2lox.crecell type: intermediate of cardiac differentiation
SRX12121237	SRA1290721	GSM5570585	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	mESC derived cardiac cells	mESC to CM Day 0 rep2; Mus musculus; ATAC-seq	source_name: A2lox.cre mouse embryonic stem cell line under cardiac differentiationcell line: A2lox.crecell type: intermediate of cardiac differentiation
SRX12121238	SRA1290721	GSM5570586	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	mESC derived cardiac cells	mESC to CM Day 1 rep1; Mus musculus; ATAC-seq	source_name: A2lox.cre mouse embryonic stem cell line under cardiac differentiationcell line: A2lox.crecell type: intermediate of cardiac differentiation
SRX12121239	SRA1290721	GSM5570587	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	mESC derived cardiac cells	mESC to CM Day 1 rep2; Mus musculus; ATAC-seq	source_name: A2lox.cre mouse embryonic stem cell line under cardiac differentiationcell line: A2lox.crecell type: intermediate of cardiac differentiation
SRX12121240	SRA1290721	GSM5570588	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	mESC derived cardiac cells	mESC to CM Day 2 rep1; Mus musculus; ATAC-seq	source_name: A2lox.cre mouse embryonic stem cell line under cardiac differentiationcell line: A2lox.crecell type: intermediate of cardiac differentiation
SRX12121241	SRA1290721	GSM5570589	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	mESC derived cardiac cells	mESC to CM Day 2 rep2; Mus musculus; ATAC-seq	source_name: A2lox.cre mouse embryonic stem cell line under cardiac differentiationcell line: A2lox.crecell type: intermediate of cardiac differentiation
SRX12121242	SRA1290721	GSM5570590	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	mESC derived cardiac cells	mESC to CM Day 3 rep1; Mus musculus; ATAC-seq	source_name: A2lox.cre mouse embryonic stem cell line under cardiac differentiationcell line: A2lox.crecell type: intermediate of cardiac differentiation
SRX12121243	SRA1290721	GSM5570591	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	mESC derived cardiac cells	mESC to CM Day 3 rep2; Mus musculus; ATAC-seq	source_name: A2lox.cre mouse embryonic stem cell line under cardiac differentiationcell line: A2lox.crecell type: intermediate of cardiac differentiation
SRX12121244	SRA1290721	GSM5570592	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	mESC derived cardiac cells	mESC to CM Day 4 rep1; Mus musculus; ATAC-seq	source_name: A2lox.cre mouse embryonic stem cell line under cardiac differentiationcell line: A2lox.crecell type: intermediate of cardiac differentiation
SRX12121245	SRA1290721	GSM5570593	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	mESC derived cardiac cells	mESC to CM Day 4 rep2; Mus musculus; ATAC-seq	source_name: A2lox.cre mouse embryonic stem cell line under cardiac differentiationcell line: A2lox.crecell type: intermediate of cardiac differentiation
SRX12121246	SRA1290721	GSM5570594	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	mESC derived cardiac cells	mESC to CM Day 5 rep1; Mus musculus; ATAC-seq	source_name: A2lox.cre mouse embryonic stem cell line under cardiac differentiationcell line: A2lox.crecell type: intermediate of cardiac differentiation
SRX12121247	SRA1290721	GSM5570595	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	mESC derived cardiac cells	mESC to CM Day 5 rep2; Mus musculus; ATAC-seq	source_name: A2lox.cre mouse embryonic stem cell line under cardiac differentiationcell line: A2lox.crecell type: intermediate of cardiac differentiation
